"Timestamp","What would happen to the reading on a voltmeter connected across the resistor if I disconnect the battery from the circuit?","Now, what would happen to the voltmeter reading across the battery if I disconnect the battery from the circuit?","In Circuit 2, what is the reading on voltmeter V2 (which measures the potential difference across the 8 ohm resistor).","Compared to the 2 ohm resistor, the current going through the 8 ohm resistor is...","In Circuit 3, what is the voltmeter reading for V1:","Compared to the 2 ohm resistor, the current going through the 8 ohm resistor is...","For the questions before on Circuits 2 and 3, explain the differences in your answer, if any. Answer in terms of energy, charge, voltage, and current. ","What is potential difference? Do not answer in terms of formulae, instead think about what what this term represents in terms of charge.","What is the role of a battery in a circuit?","Consider Circuit 4. The readings on the ammeters (which measure the current going through them) AM1 and AM2 are:","The readings on the voltmeters VM1 and VM2 are:","Consider Circuit 4 in terms of the flow of charge, and what is going on with the charge carriers. Suddenly, I change the resistance of the resistor. What is the correct ordering of events?","For whichever answer you chose to the previous question, explain your answer:","Compare the brightness of Bulb 1 (B1) & Bulb 2 (B2) in Circuits 5 (C5) & Circuit 6 (C6). Assume the voltage of the battery is the same in both cases. Justify your reasoning","What conceptual difficulties do you have with the concept of voltage, if any?"
"2021/03/02 2:08:19 pm GMT","It would immediately drop to 0 V","It would stay the same","8 V","Lower","20 V","","","The difference in energy between 2 points through which charge carriers travel","To create energy in the form of charge","Different","The same","Neither changes","","",""
"2021/03/02 2:21:00 pm GMT","It would slowly drop to 0 V","It would immediately drop to 0 V","2 V","Higher","10V","Lower","","","To act as a source of voltage","Different","The same","AM2 changes, then AM1 does","","",""
"2021/03/02 2:23:42 pm GMT","It would immediately drop to 0 V","It would immediately drop to 0 V","16 V","Lower","20 V","The same","?","The difference in energy between 2 points through which charge carriers travel","To act as a source of voltage","Different","The same","They both change at the same time","not sure why, it just makes sense ","The bulbs in C5 will be much dimmer",""
"2021/03/02 2:24:47 pm GMT","It would immediately drop to 0 V","It would immediately drop to 0 V","16 V","The same","20 V","Higher","","The difference in energy between 2 points through which charge carriers travel","To provide energy to the charge carriers","The same","Different","They both change at the same time","","the bulbs in circuit 6 will be brighter because it is in series ",""
"2021/03/02 2:24:50 pm GMT","It would immediately drop to 0 V","It would stay the same","16 V","The same","20 V","Lower","The first diagram is a series circuit. The voltage is split between the resisters and the current is the same across the loop. The second diagram is a parrellel circuit. The voltage is the same in each loop, but the current depends on the resistance in each loop.","The difference in energy between 2 points through which charge carriers travel","To provide energy to the charge carriers","The same","The same","They both change at the same time","The change effects the whole loop so they will both change simultaneously.","In circuit 6 the bulbs will be brighter because they are  parellel this means they do not split the current like they do in circuit 5 making them brighter.","I can get confused between whichc rules apply in which type of circuit."
"2021/03/02 2:25:39 pm GMT","It would slowly drop to 0 V","It would slowly drop to 0 V","16 V","Lower","20 V","The same","circuit 2 is series meaning volatage is shared in 3 it is parralel meaning that it is the smal across all branches ","The difference in energy between 2 points through which charge carriers travel","To create energy in the form of charge","Different","Different","","","",""
"2021/03/02 2:26:18 pm GMT","It would immediately drop to 0 V","It would immediately drop to 0 V","16 V","The same","2 V","Lower","","The force that acts on the charge carriers between 2 points in a circuit","To act as a source of voltage","The same","Different","They both change at the same time","Current stays the sme through out a series circet so will change at the same time","Bulb 1 and 2 in circit six would be twice as bright as 1 and 2 in cicet 5 as it is a parallel circet",""
"2021/03/02 2:28:53 pm GMT","It would stay the same","It would stay the same","4 V","Lower","2.5 V","Higher","","The difference in energy between 2 points through which charge carriers travel","To act as a source of current","","The same","","","",""
"2021/03/02 2:35:20 pm GMT","It would slowly drop to 0 V","It would immediately drop to 0 V","2 V","The same","10V","Lower","the current in series is the same everywhere, whereas in parallel it splits between branches","The difference in energy between 2 points through which charge carriers travel","To create energy in the form of charge","The same","The same","They both change at the same time","The resistance will change the flow of the current and as the current is always moving they will change at the same time ","In circuit 5 one of the bulbs will be brighter than the other, because one will be getting more energy than the other, however in circuit 6 they will both be the same brightness as the current is split evenly between them ","why do you use a voltmeter to measure potential difference when it surely should be for volts and how come literally everything is in volts, man its confusing"
"2021/03/02 2:36:15 pm GMT","It would slowly drop to 0 V","It would immediately drop to 0 V","16 V","The same","20 V","Lower","The higher the resistance of a component in a series circuit the higher the share of voltage it will have across it since more energy is transferred when a charge is moving through a large resistance. But, in parallel circuits the voltage across each branch is the same since all branches are connected to the battery. Current is the same everywhere in series circuits. Current is shared between branches in parallel circuits.","A property of current which relates it to the energy carried by the charge carriers","To provide energy to the charge carriers","The same","The same","AM2 changes, then AM1 does","The charges are flowing from the positive terminal of the power supply to the negative terminal so Am2 which is right next to the positive terminal were the cheaters start flowing will feel the change first as the charges haven’t passed the resistor yet ","B1 and B2 would be brighter in C6 because they each get the whole shape of the potential difference from the battery, in C5 the bulbs would be sharing the voltage so they would be dimmer.","Understanding exactly where the potential difference is coming from and what exactly it is and is doing."
